,WAG,SEX,AGE,EDU,JOB,RACE,WAGP_count,WAGP_mean,Year
118,44721.34378703471,Female,46-55,BS,PRD,WHT/MIX,205,43579.14102625909,2008
119,35080.06900006949,Female,56-70,BS,PRD,WHT/MIX,83,34937.55237156959,2008
120,32855.43537932528,Female,18-25,BS,SAL,ASN,133,31559.108557717835,2008
121,40311.21944732222,Female,26-35,BS,SAL,ASN,454,39265.45181084259,2008
122,41587.92953077098,Female,36-45,BS,SAL,ASN,460,41126.888355208146,2008
123,36608.70439450608,Female,46-55,BS,SAL,ASN,464,37320.84061526535,2008
124,38428.03503399078,Female,56-70,BS,SAL,ASN,289,37421.96952787998,2008
125,24431.38213221784,Female,18-25,BS,SAL,BLK,161,26272.098595634525,2008
126,34502.22278044599,Female,26-35,BS,SAL,BLK,604,34598.43877527028,2008
127,41131.44009972821,Female,36-45,BS,SAL,BLK,540,39442.437678108254,2008
128,39723.532646853644,Female,46-55,BS,SAL,BLK,498,38857.40055318044,2008
129,37722.433039485615,Female,56-70,BS,SAL,BLK,199,38312.16865380454,2008
130,26568.109409579884,Female,18-25,BS,SAL,HSP/NTV,202,27931.286806951215,2008
131,36474.96803686554,Female,26-35,BS,SAL,HSP/NTV,637,36800.75161525038,2008
132,41283.83016541375,Female,36-45,BS,SAL,HSP/NTV,444,39434.08987988989,2008
133,38313.17831362653,Female,46-55,BS,SAL,HSP/NTV,311,38172.282069318004,2008
134,33952.7862252962,Female,56-70,BS,SAL,HSP/NTV,113,35456.15986347002,2008
135,29560.87713858069,Female,18-25,BS,SAL,WHT/MIX,1821,29631.910999112177,2008
136,40647.88605185067,Female,26-35,BS,SAL,WHT/MIX,4692,40812.102799361535,2008
137,47797.78413481811,Female,36-45,BS,SAL,WHT/MIX,4082,48056.23274650577,2008
138,45116.79250350065,Female,46-55,BS,SAL,WHT/MIX,4260,44926.90593238886,2008
139,39064.14091242357,Female,56-70,BS,SAL,WHT/MIX,2500,39152.69511650533,2008
140,45960.02605218688,Female,18-25,BS,SCI,ASN,123,44160.502040762076,2008
141,59626.23531224585,Female,26-35,BS,SCI,ASN,374,59757.30551865973,2008
142,71051.8423491913,Female,36-45,BS,SCI,ASN,282,71076.95453079615,2008
143,66624.88004221684,Female,46-55,BS,SCI,ASN,161,66559.13590582483,2008
144,70674.19320764777,Female,56-70,BS,SCI,ASN,52,68016.180799263,2008
145,45561.30014552483,Female,18-25,BS,SCI,BLK,35,42496.3307123222,2008
146,47417.10454921855,Female,26-35,BS,SCI,BLK,143,48488.51581492035,2008
147,59881.39814912091,Female,36-45,BS,SCI,BLK,137,62614.99854013898,2008
148,64620.622026685414,Female,46-55,BS,SCI,BLK,121,62543.70122484987,2008
149,65072.56176479941,Female,56-70,BS,SCI,BLK,31,62593.22505458634,2008
150,39448.80547332102,Female,18-25,BS,SCI,HSP/NTV,42,40696.421894428946,2008
151,45603.786536399566,Female,26-35,BS,SCI,HSP/NTV,165,49201.81654159803,2008
152,56034.640976436116,Female,36-45,BS,SCI,HSP/NTV,117,60107.092302612225,2008
153,64995.42542432836,Female,46-55,BS,SCI,HSP/NTV,65,66655.26274913199,2008
154,57991.88329998019,Female,56-70,BS,SCI,HSP/NTV,6,51249.60701455137,2008
155,38451.63969388367,Female,18-25,BS,SCI,WHT/MIX,499,38377.32419965603,2008
156,51223.34463502249,Female,26-35,BS,SCI,WHT/MIX,1440,51795.49367630838,2008
157,65406.675435028665,Female,36-45,BS,SCI,WHT/MIX,1280,65116.46051850825,2008
158,67287.10936443902,Female,46-55,BS,SCI,WHT/MIX,1237,68576.75309600311,2008
159,65454.568713449895,Female,56-70,BS,SCI,WHT/MIX,417,66528.81367408087,2008
160,26728.66106209335,Female,18-25,BS,SVC,ASN,34,28169.649641234668,2008
161,29478.813436609737,Female,26-35,BS,SVC,ASN,76,30815.34918350175,2008
162,31729.30653788996,Female,36-45,BS,SVC,ASN,129,31914.16328307214,2008
163,28974.724501002474,Female,46-55,BS,SVC,ASN,130,30107.563667928,2008
164,26175.186778823878,Female,56-70,BS,SVC,ASN,91,27761.630864628747,2008
165,25799.595127528857,Female,18-25,BS,SVC,BLK,46,24126.730385792176,2008
166,29660.410675459658,Female,26-35,BS,SVC,BLK,126,29909.335750116024,2008
167,34292.814427695615,Female,36-45,BS,SVC,BLK,166,34738.5341506889,2008
168,37537.59839578355,Female,46-55,BS,SVC,BLK,140,37240.438407452544,2008
169,33748.38247278961,Female,56-70,BS,SVC,BLK,58,34799.86936734173,2008
170,23252.44403157287,Female,18-25,BS,SVC,HSP/NTV,60,23564.04577257758,2008
171,30992.35738021063,Female,26-35,BS,SVC,HSP/NTV,132,30720.277982518124,2008
172,30292.12584650623,Female,36-45,BS,SVC,HSP/NTV,154,30502.311565489403,2008
173,26996.06637455045,Female,46-55,BS,SVC,HSP/NTV,131,26085.39620466382,2008
174,26669.273774727437,Female,56-70,BS,SVC,HSP/NTV,44,27420.6461559827,2008
175,25541.19143697331,Female,18-25,BS,SVC,WHT/MIX,494,25145.7817590398,2008
176,31380.226202581718,Female,26-35,BS,SVC,WHT/MIX,992,31310.203536109337,2008
177,36378.1906457463,Female,36-45,BS,SVC,WHT/MIX,667,36555.73306369854,2008
178,35699.342030038824,Female,46-55,BS,SVC,WHT/MIX,598,36178.16850998182,2008
179,30880.205643098256,Female,56-70,BS,SVC,WHT/MIX,327,31555.96889088834,2008
180,31990.153715964207,Female,18-25,BS,TRP,ASN,2,24041.63056034261,2008
181,37919.817980170745,Female,26-35,BS,TRP,ASN,2,23736.048533822977,2008
182,27823.216761038846,Female,36-45,BS,TRP,ASN,8,31448.99516215134,2008
183,28512.330934093752,Female,46-55,BS,TRP,ASN,14,33082.33521507499,2008
184,28503.24141862622,Female,56-70,BS,TRP,ASN,7,27060.230448011953,2008
185,24907.32955309361,Female,18-25,BS,TRP,BLK,2,25349.55620913315,2008
186,36815.170623372724,Female,26-35,BS,TRP,BLK,8,34007.62037782228,2008
187,27918.6694003466,Female,36-45,BS,TRP,BLK,22,28344.00308925484,2008
188,28919.463374803858,Female,46-55,BS,TRP,BLK,5,46252.580253455955,2008
189,28840.359902798555,Female,56-70,BS,TRP,BLK,7,32982.05595609531,2008
190,26510.860879815882,Female,18-25,BS,TRP,HSP/NTV,3,21074.56486059263,2008
