,Variable,Category,Total_Count,M_Wage_f,M_Wage_m,M_Wage_Avg,M_Wage_Diff,M_Count,M_Pct_Ct,F_Wage_m,F_Wage_f,F_Wage_Avg,F_Wage_Diff,F_Count,F_Pct_Ct,F_M_Ratio_f,F_M_Ratio_m,F_M_Ratio_Avg,F_M_Ratio_Diff,Year
1,AGE,23-28,97969,35707.719,34421.673,35064.696,-1286.046,52644,0.5373536526860537,29982.545,32140.319,31061.432,-2157.774,45325,0.46264634731394627,0.9,0.871,0.886,0.029,2010
2,AGE,29-36,159783,49605.898,48083.907,48844.902,-1521.991,90347,0.5654356220624221,38920.157,41323.328,40121.742,-2403.171,69436,0.43456437793757785,0.833,0.809,0.821,0.024,2010
3,AGE,37-45,206784,58646.54,59010.756,58828.648,364.216,117918,0.5702472144846796,44480.801,44563.287,44522.044,-82.486,88866,0.4297527855153203,0.76,0.754,0.757,0.006,2010
4,AGE,46-55,258965,59769.161,61529.104,60649.132,1759.943,141451,0.5462166702063985,45729.448,44660.014,45194.731,1069.434,117514,0.4537833297936015,0.747,0.743,0.745,0.004,2010
5,AGE,56-70,171818,56288.17,61169.941,58729.056,4881.771,94499,0.5499947618992189,46606.11,43713.85,45159.98,2892.26,77319,0.4500052381007811,0.777,0.762,0.77,0.015,2010
0,SEX,Female,899035,53823.279,54426.601,54124.94,603.322,502318,0.5587301940413888,42075.909,42226.339,42151.124,-150.43,396717,0.44126980595861115,0.785,0.773,0.779,0.012,2011
0,EDU,B.S._Degree,203137,63630.435,68679.425,66154.93,5048.99,108019,0.5317544317381866,52625.254,49911.453,51268.354,2713.801,95118,0.46824556826181346,0.784,0.766,0.775,0.018,2011
1,EDU,Highschool,222601,39565.774,38920.518,39243.146,-645.256,135041,0.6066504642836286,29967.353,29921.445,29944.399,45.908,87560,0.39334953571637143,0.756,0.77,0.763,-0.014,2011
2,EDU,M.S._Degree,89961,72072.464,84526.156,78299.31,12453.692,42904,0.476917775480486,66667.422,60771.28,63719.351,5896.142,47057,0.523082224519514,0.843,0.789,0.816,0.054,2011
3,EDU,No_Highschool,61306,29893.259,30514.367,30203.813,621.108,42480,0.6929174958405376,23984.131,24047.912,24016.022,-63.781,18826,0.30708250415946237,0.804,0.786,0.795,0.018,2011
4,EDU,PhD_or_Prof,38870,107961.895,114068.342,111015.119,6106.447,23958,0.6163622330846411,86247.752,82914.704,84581.228,3333.048,14912,0.3836377669153589,0.768,0.756,0.762,0.012,2011
5,EDU,Some_College,283160,47068.675,46754.869,46911.772,-313.806,149916,0.5294391863257523,36411.517,36291.637,36351.577,119.88,133244,0.4705608136742478,0.771,0.779,0.775,-0.008,2011
0,JOB,Art,103259,54052.573,61964.791,58008.682,7912.218,37431,0.3624962473004774,50840.463,45654.118,48247.29,5186.345,65828,0.6375037526995225,0.845,0.82,0.832,0.025,2011
